reference_gene	lifespan
SRR5412212	5.1
SRR306845	122.5
SRR5952126	5.1
SRR1521445	122.5
SRR6206914	5.1
SRR8702484	122.5
SRR449433	5.1
SRR306808	60.1
SRR306751	5.1
SRR306804	60.1
ERR1331710	5.1
SRR1758916	59.4
SRR2925203	4.0
SRR1510173	59.4
SRR5115669	4.0
SRR2925201	4.0
SRR2925209	4.0
SRR223518	40.0
SRR2925247	4.0
SRR2925253	4.0
SRR5115668	4.0
SRR1759007	37.6
SRR3468368	3.9
SRR636908	3.9
ERR1331676	31.0
SRR636907	3.9
SRR306399	31.0
SRR3468367	3.9
SRR5291530	3.8
ERR2716208	30.0
SRR5520664	3.8
SRR636854	30.0
SRR3144831	3.8
SRR636906	30.0
SRR653846	27.0
SRR1284264	3.8
SRR3160018	27.0
SRR3160008	27.0
SRR3160041	27.0
SRR3160052	27.0
SRR3144828	3.8
SRR636843	24.0
SRR3160061	27.0
SRR594428	3.8
SRR1300763	23.0
SRR1284265	3.8
ERR2075792	22.8
SRR3144820	3.8
SRR5190444	22.8
SRR3144813	3.8
SRR1758981	22.8
SRR1284275	3.8
SRR1758984	22.8
ERR476404	3.3
SRR1205998	22.1
ERR1990034	3.3
ERR3350029	3.3
SRR4444968	20.0
SRR1758996	18.2
SRR4444957	18.2
SRR4444956	18.2
ERR266376	12.0
SRR636847	12.0
ERR162246	12.0
SRR1200908	12.0
SRR636942	12.0
ERR1331671	9.0
SRR1786019	9.0
SRR1789057	9.0
SRR1789059	9.0
SRR1789326	9.0
SRR1789331	9.0
ERR266370	9.0
SRR6293961	7.9
SRR636959	6.3
SRR9066910	6.3
SRR636914	6.3
ERR266393	6.0
ERR162217	6.0
SRR5412215	5.1
