reference_gene	lifespan
SRR5412212	5.1
SRR306845	122.5
SRR5952126	5.1
SRR1521445	122.5
SRR6206914	5.1
SRR8702484	122.5
SRR449433	5.1
SRR306808	60.1
SRR306751	5.1
SRR306804	60.1
ERR1331710	5.1
SRR1758916	59.4
SRR2925203	4.0
SRR1510173	59.4
SRR5115669	4.0
SRR2925201	4.0
SRR2925209	4.0
SRR2925247	4.0
SRR1758943	39.0
SRR2925253	4.0
SRR1758942	39.0
SRR5115668	4.0
SRR1759007	37.6
SRR2308103	36.8
SRR3468368	3.9
SRR636908	3.9
ERR1331676	31.0
SRR636907	3.9
SRR306399	31.0
SRR3468367	3.9
SRR2757329	30.5
SRR5291530	3.8
ERR2716208	30.0
SRR5520664	3.8
SRR636854	30.0
SRR3144831	3.8
SRR636906	30.0
SRR1284264	3.8
SRR3160018	27.0
SRR3144828	3.8
SRR594428	3.8
SRR1300763	23.0
SRR1284265	3.8
ERR2075792	22.8
SRR3144820	3.8
SRR5190444	22.8
SRR3144813	3.8
SRR1758981	22.8
SRR1284275	3.8
SRR1758984	22.8
ERR476404	3.3
SRR1205998	22.1
ERR1990034	3.3
ERR3350029	3.3
SRR9024755	20.6
SRR3109705	20.0
SRR636934	20.0
SRR1758996	18.2
SRR4444957	18.2
SRR4444956	18.2
ERR1331667	11.1
ERR1331707	11.1
ERR1331708	11.1
ERR1331709	11.1
SRR6261040	11.1
SRR6261041	11.1
SRR6261042	11.1
SRR1789326	9.0
SRR636959	6.3
SRR9066910	6.3
SRR636914	6.3
ERR266393	6.0
ERR162217	6.0
SRR5412215	5.1
