reference_gene	lifespan
SRR5412211	5.1
SRR306844	122.5
SRR5412218	5.1
SRR306839	122.5
SRR5952130	5.1
SRR5120940	122.5
SRR449434	5.1
SRR306809	60.1
SRR306752	5.1
SRR306805	60.1
ERR1331725	5.1
SRR306800	60.1
SRR2925208	4.0
SRR2040586	59.4
SRR2925244	4.0
SRR2925202	4.0
SRR2925197	4.0
SRR2925245	4.0
SRR2925252	4.0
SRR1758941	39.0
SRR5115667	4.0
SRR1759006	37.6
SRR3468375	3.9
SRR636978	34.0
SRR636932	34.0
SRR636888	34.0
SRR636977	34.0
SRR636933	34.0
SRR636887	34.0
SRR636859	3.9
SRR3468372	3.9
SRR306398	31.0
SRR3468366	3.9
SRR1048140	30.5
SRR5520660	3.8
ERR2716207	30.0
SRR3144816	3.8
ERR1331679	30.0
SRR5520669	3.8
SRR636905	30.0
SRR1284266	3.8
SRR3160008	27.0
SRR594442	3.8
SRR636842	24.0
SRR636843	24.0
SRR636892	24.0
SRR636893	24.0
SRR636938	24.0
SRR636937	24.0
SRR594430	3.8
SRR594419	3.8
SRR1300768	23.0
SRR3144827	3.8
ERR2075986	22.8
SRR3144814	3.8
SRR1758982	22.8
SRR1873516	3.8
SRR1758977	22.8
ERR1101653	3.5
SRR1205138	22.1
ERR1990033	3.3
SRR1205222	22.1
ERR1990038	3.3
SRR9024753	20.6
SRR3109709	20.0
SRR636935	20.0
SRR1981988	20.0
SRR4444958	18.2
SRR1758997	18.2
SRR1789059	9.0
SRR636960	6.3
SRR9066919	6.3
SRR636913	6.3
ERR266353	6.0
ERR162222	6.0
SRR6206909	5.1
