reference_gene	lifespan
SRR5961830	122.5
SRR5412213	5.1
SRR787277	122.5
SRR5952127	5.1
SRR3715877	122.5
SRR5412206	5.1
SRR5961972	122.5
SRR306744	5.1
SRR306749	5.1
ERR1331668	5.1
SRR1758922	59.4
SRR636850	57.0
SRR306832	55.0
SRR306836	55.0
SRR306826	55.0
SRR306827	55.0
SRR306829	55.0
SRR306834	55.0
SRR306835	55.0
SRR306828	55.0
SRR306831	55.0
SRR306833	55.0
SRR223520	40.0
SRR223512	39.0
SRR1758954	39.0
SRR1759011	37.6
SRR636953	3.9
SRR636909	3.9
SRR306395	31.0
SRR1549160	3.9
SRR306401	31.0
SRR3468369	3.9
SRR5291531	3.8
SRR1334837	30.0
SRR5520665	3.8
SRR636855	30.0
SRR3144832	3.8
SRR636948	30.0
SRR1170173	3.8
SRR3160041	27.0
SRR594437	3.8
SRR636892	24.0
SRR594424	3.8
SRR1300765	23.0
SRR594440	3.8
SRR5190446	22.8
SRR3144819	3.8
ERR2075082	22.8
SRR3144812	3.8
SRR3109718	22.8
SRR1284274	3.8
SRR1758978	22.8
ERR476408	3.3
SRR1205218	22.1
ERR1990035	3.3
ERR3350030	3.3
SRR4444971	20.0
SRR1758996	18.2
SRR4444961	18.2
SRR4444960	18.2
SRR4444959	18.2
SRR4444958	18.2
SRR4444957	18.2
SRR4444955	18.2
SRR4444954	18.2
SRR1758998	18.2
SRR1758997	18.2
SRR4444956	18.2
SRR1758995	18.2
ERR1331694	18.2
SRR1758992	18.2
ERR266394	12.0
SRR636846	12.0
ERR162229	12.0
ERR1331683	12.0
ERR266380	12.0
ERR1331708	11.1
ERR1331671	9.0
SRR1789331	9.0
SRR6293972	7.9
ERR266398	6.0
ERR162213	6.0
SRR5412207	5.1
