reference_gene	lifespan
SRR1758981	22.8
SRR306845	122.5
SRR1758984	22.8
SRR1521445	122.5
ERR476404	3.3
SRR8702484	122.5
ERR1990034	3.3
SRR5190453	20.8
SRR306808	60.1
ERR3350029	3.3
SRR9024755	20.6
SRR306804	60.1
SRR3109709	20.0
SRR3109705	20.0
SRR636840	20.0
SRR1758916	59.4
SRR3109710	20.0
SRR636934	20.0
SRR636839	20.0
SRR2925203	4.0
SRR1510173	59.4
SRR636935	20.0
SRR4444968	20.0
SRR5115669	4.0
SRR306836	55.0
SRR1758996	18.2
SRR2925201	4.0
SRR306835	55.0
SRR4444957	18.2
SRR2925209	4.0
SRR223518	40.0
SRR4444956	18.2
SRR2925247	4.0
SRR1758943	39.0
ERR266376	12.0
SRR2925253	4.0
SRR1758942	39.0
SRR636847	12.0
SRR5115668	4.0
SRR1759007	37.6
ERR162246	12.0
SRR3468368	3.9
SRR1200908	12.0
SRR636908	3.9
ERR1331676	31.0
SRR636942	12.0
SRR636907	3.9
SRR306399	31.0
ERR1331667	11.1
ERR1331707	11.1
ERR1331708	11.1
SRR3468367	3.9
SRR2757329	30.5
ERR1331709	11.1
SRR6261042	11.1
SRR6261040	11.1
SRR6261041	11.1
SRR1789326	9.0
SRR636854	30.0
SRR6293961	7.9
SRR636906	30.0
SRR636959	6.3
SRR3160018	27.0
SRR9066910	6.3
SRR636843	24.0
SRR636914	6.3
ERR266393	6.0
ERR2075792	22.8
ERR162217	6.0
SRR5190444	22.8
