reference_gene	lifespan
SRR5961830	122.5
SRR787277	122.5
SRR3715877	122.5
SRR5961972	122.5
SRR306801	60.1
SRR306803	60.1
SRR1758922	59.4
SRR2925196	4.0
SRR636850	57.0
SRR2925206	4.0
SRR306826	55.0
SRR2925200	4.0
SRR306828	55.0
ERR2004719	4.0
SRR223520	40.0
SRR2925248	4.0
SRR223512	39.0
SRR2925254	4.0
SRR1758954	39.0
SRR5115678	4.0
SRR1759011	37.6
SRR636978	34.0
SRR636932	34.0
SRR636888	34.0
SRR636977	34.0
SRR636933	34.0
SRR636887	34.0
SRR636953	3.9
SRR306395	31.0
SRR636909	3.9
SRR1549160	3.9
SRR306401	31.0
SRR3468369	3.9
SRR1048142	30.5
SRR1334837	30.0
SRR636855	30.0
SRR636948	30.0
SRR3160041	27.0
SRR636892	24.0
SRR1300763	23.0
SRR1300765	23.0
SRR1300766	23.0
SRR1300767	23.0
SRR1300768	23.0
SRR5190446	22.8
ERR2075082	22.8
SRR3109718	22.8
SRR1758978	22.8
ERR476408	3.3
ERR1990035	3.3
SRR5190441	20.8
ERR3350030	3.3
SRR9024747	20.6
SRR4444971	20.0
SRR4444961	18.2
SRR4444955	18.2
SRR1758995	18.2
ERR266394	12.0
SRR636846	12.0
ERR162229	12.0
ERR1331683	12.0
ERR266380	12.0
ERR1331671	9.0
SRR1789331	9.0
SRR6293972	7.9
SRR9066934	6.3
SRR636866	6.3
SRR636915	6.3
ERR266398	6.0
ERR162213	6.0
