reference_gene	lifespan
SRR5885325	122.5
SRR306841	122.5
SRR5008362	122.5
SRR5961875	122.5
SRR306807	60.1
SRR649365	60.1
SRR1758921	59.4
ERR2004720	4.0
SRR636900	57.0
SRR2925205	4.0
SRR306827	55.0
SRR2925199	4.0
SRR306831	55.0
SRR2925210	4.0
SRR223521	40.0
SRR2925249	4.0
SRR223514	39.0
SRR2925255	4.0
SRR1758957	39.0
SRR3468373	3.9
SRR1759012	37.6
SRR636857	3.9
SRR636951	3.9
SRR306402	31.0
SRR1549162	3.9
SRR2124226	31.0
SRR636856	30.0
ERR1331678	30.0
SRR636949	30.0
SRR3160052	27.0
SRR636893	24.0
ERR489283	22.8
ERR2075072	22.8
SRR1758983	22.8
ERR1101654	3.5
SRR1758979	22.8
SRR1205138	22.1
SRR1205998	22.1
SRR1205218	22.1
SRR8708135	22.1
SRR1205223	22.1
SRR1205222	22.1
ERR1990031	3.3
ERR1990036	3.3
SRR1822406	20.8
ERR476402	3.3
SRR9024746	20.6
SRR1981979	20.0
ERR1331716	20.0
SRR1981981	20.0
SRR1981987	20.0
SRR1981988	20.0
SRR4444960	18.2
SRR4444954	18.2
ERR1331694	18.2
SRR636897	12.0
ERR266373	12.0
ERR162228	12.0
ERR1331712	12.0
SRR636943	12.0
SRR1786019	9.0
ERR266370	9.0
SRR6293973	7.9
SRR9066931	6.3
SRR636865	6.3
SRR636958	6.3
ERR162261	6.0
ERR266378	6.0
