reference_gene	lifespan
SRR306844	122.5
SRR306839	122.5
SRR5120940	122.5
SRR306809	60.1
SRR306805	60.1
SRR306800	60.1
SRR2040586	59.4
SRR306832	55.0
SRR306834	55.0
SRR223519	40.0
SRR299126	40.0
SRR1758941	39.0
SRR1759006	37.6
SRR306398	31.0
SRR1048140	30.5
ERR1331679	30.0
SRR636905	30.0
SRR3160008	27.0
SRR636842	24.0
SRR636937	24.0
ERR2075986	22.8
SRR1758982	22.8
SRR1758977	22.8
SRR9024753	20.6
SRR4444969	20.0
SRR4444958	18.2
SRR1758997	18.2
ERR162240	12.0
SRR636848	12.0
ERR162251	12.0
SRR1200909	12.0
SRR636941	12.0
SRR1789059	9.0
SRR6293953	7.9
SRR636960	6.3
SRR9066919	6.3
SRR636913	6.3
ERR266353	6.0
ERR162222	6.0
SRR449436	5.1
SRR6206909	5.1
SRR5412215	5.1
SRR5412207	5.1
SRR5412209	5.1
SRR5412210	5.1
SRR5412211	5.1
SRR5412212	5.1
SRR5412213	5.1
SRR5412216	5.1
SRR6206904	5.1
SRR5412218	5.1
SRR5952126	5.1
SRR5952127	5.1
SRR5952128	5.1
SRR5952129	5.1
SRR5952130	5.1
SRR6206914	5.1
SRR5412206	5.1
SRR5412205	5.1
SRR449435	5.1
SRR449434	5.1
SRR449433	5.1
SRR306744	5.1
SRR306754	5.1
SRR306753	5.1
SRR306752	5.1
SRR306751	5.1
SRR306749	5.1
SRR306747	5.1
SRR306742	5.1
ERR1331725	5.1
ERR1331710	5.1
ERR1331668	5.1
SRR6206899	5.1
SRR2925208	4.0
SRR2925244	4.0
SRR2925202	4.0
SRR2925197	4.0
SRR2925245	4.0
SRR2925252	4.0
SRR5115667	4.0
SRR3468375	3.9
SRR636859	3.9
SRR3468372	3.9
SRR3468366	3.9
SRR5291532	3.8
SRR5520661	3.8
SRR5520660	3.8
SRR5291530	3.8
SRR5291531	3.8
SRR5520663	3.8
SRR5520662	3.8
SRR3144816	3.8
SRR5520664	3.8
SRR5520665	3.8
SRR5520667	3.8
SRR5520668	3.8
SRR5520669	3.8
SRR3144831	3.8
SRR3144832	3.8
SRR594439	3.8
SRR3144830	3.8
SRR1284266	3.8
SRR1284264	3.8
SRR1170173	3.8
SRR1041772	3.8
SRR954817	3.8
SRR594442	3.8
SRR3144828	3.8
SRR594437	3.8
SRR594433	3.8
SRR594431	3.8
SRR594430	3.8
SRR594428	3.8
SRR594424	3.8
SRR594422	3.8
SRR594421	3.8
SRR594419	3.8
SRR1284265	3.8
SRR594440	3.8
SRR1284267	3.8
SRR3144815	3.8
SRR3144827	3.8
SRR3144820	3.8
SRR3144819	3.8
SRR3144818	3.8
SRR3144817	3.8
SRR3144814	3.8
SRR3144813	3.8
SRR3144812	3.8
SRR3144811	3.8
SRR3144810	3.8
SRR1873516	3.8
SRR1284275	3.8
SRR1284274	3.8
ERR1101653	3.5
ERR1990033	3.3
ERR1990038	3.3
