reference_gene	lifespan
SRR5961830	122.5
SRR5412213	5.1
SRR787277	122.5
SRR5952127	5.1
SRR3715877	122.5
SRR5412206	5.1
SRR5961972	122.5
SRR306744	5.1
SRR306801	60.1
SRR306749	5.1
SRR306803	60.1
ERR1331668	5.1
SRR1758922	59.4
SRR2925196	4.0
SRR636850	57.0
SRR2925206	4.0
SRR306826	55.0
SRR2925200	4.0
SRR306828	55.0
ERR2004719	4.0
SRR223520	40.0
SRR2925248	4.0
SRR223512	39.0
SRR2925254	4.0
SRR1758954	39.0
SRR5115678	4.0
SRR1759011	37.6
SRR636953	3.9
SRR636909	3.9
SRR1549160	3.9
SRR3468369	3.9
SRR1048142	30.5
SRR5291531	3.8
SRR5520665	3.8
SRR3144832	3.8
SRR1170173	3.8
SRR3160041	27.0
SRR636842	24.0
SRR636843	24.0
SRR636892	24.0
SRR636893	24.0
SRR636938	24.0
SRR636937	24.0
SRR594437	3.8
SRR594424	3.8
SRR594440	3.8
SRR3144819	3.8
SRR3144812	3.8
SRR1284274	3.8
SRR1758978	22.8
ERR1101654	3.5
ERR1101655	3.5
ERR1101653	3.5
ERR476408	3.3
SRR1205218	22.1
ERR1990035	3.3
SRR5190441	20.8
ERR3350030	3.3
SRR9024747	20.6
SRR636840	20.0
SRR636839	20.0
SRR4444971	20.0
SRR4444961	18.2
SRR4444955	18.2
SRR1758995	18.2
ERR266394	12.0
SRR636846	12.0
ERR162229	12.0
ERR1331683	12.0
ERR266380	12.0
ERR1331708	11.1
SRR6293972	7.9
SRR9066934	6.3
SRR636866	6.3
SRR636915	6.3
SRR5412207	5.1
