reference_gene	lifespan
SRR5961830	122.5
SRR5412213	5.1
SRR787277	122.5
SRR5952127	5.1
SRR3715877	122.5
SRR5412206	5.1
SRR5961972	122.5
SRR306744	5.1
SRR306801	60.1
SRR306749	5.1
SRR306803	60.1
ERR1331668	5.1
SRR2925196	4.0
SRR636850	57.0
SRR2925206	4.0
SRR306826	55.0
SRR2925200	4.0
SRR306828	55.0
ERR2004719	4.0
SRR223520	40.0
SRR2925248	4.0
SRR223512	39.0
SRR2925254	4.0
SRR1758954	39.0
SRR5115678	4.0
SRR1759011	37.6
SRR636953	3.9
SRR636888	34.0
ERR1331676	31.0
SRR306395	31.0
SRR306402	31.0
SRR306396	31.0
SRR306398	31.0
SRR306399	31.0
SRR306401	31.0
SRR2124226	31.0
SRR2754983	30.5
SRR1048140	30.5
SRR2757329	30.5
SRR1048142	30.5
SRR1549160	3.9
SRR3468369	3.9
SRR5291531	3.8
SRR1334837	30.0
SRR5520665	3.8
SRR636855	30.0
SRR3144832	3.8
SRR636948	30.0
SRR1170173	3.8
SRR594437	3.8
SRR636892	24.0
SRR594424	3.8
SRR594440	3.8
SRR3144819	3.8
SRR636909	3.9
SRR3144812	3.8
SRR1284274	3.8
SRR1758978	22.8
ERR476408	3.3
SRR1205218	22.1
ERR1990035	3.3
SRR5190441	20.8
ERR3350030	3.3
SRR636840	20.0
SRR636839	20.0
SRR4444971	20.0
SRR4444961	18.2
SRR4444955	18.2
SRR1758995	18.2
ERR1331708	11.1
ERR1331671	9.0
SRR1789331	9.0
SRR6293972	7.9
SRR9066934	6.3
SRR636866	6.3
SRR636915	6.3
ERR266398	6.0
ERR162213	6.0
SRR5412207	5.1
