reference_gene	lifespan
SRR5412209	5.1
SRR5885325	122.5
SRR5412216	5.1
SRR306841	122.5
SRR5952128	5.1
SRR5008362	122.5
SRR5412205	5.1
SRR5961875	122.5
SRR306754	5.1
SRR306807	60.1
SRR306747	5.1
SRR649365	60.1
SRR6206899	5.1
ERR2004720	4.0
SRR636900	57.0
SRR2925205	4.0
SRR306827	55.0
SRR2925199	4.0
SRR306831	55.0
SRR2925210	4.0
SRR223521	40.0
SRR2925249	4.0
SRR223514	39.0
SRR2925255	4.0
SRR1758957	39.0
SRR3468373	3.9
SRR1759012	37.6
SRR636857	3.9
SRR636977	34.0
SRR636951	3.9
SRR1549162	3.9
SRR5291532	3.8
SRR5520663	3.8
SRR636856	30.0
SRR5520667	3.8
ERR1331678	30.0
SRR594439	3.8
SRR636949	30.0
SRR1041772	3.8
SRR594433	3.8
SRR636893	24.0
SRR594422	3.8
SRR1284267	3.8
SRR3144818	3.8
SRR3144811	3.8
SRR1758983	22.8
ERR1101654	3.5
SRR1758979	22.8
ERR1101655	3.5
ERR1101653	3.5
ERR1990031	3.3
SRR8708135	22.1
ERR1990036	3.3
SRR1822406	20.8
SRR9024753	20.6
SRR9024755	20.6
SRR9024747	20.6
SRR9024746	20.6
SRR9024741	20.6
ERR476402	3.3
SRR1981979	20.0
ERR1331716	20.0
SRR1981981	20.0
SRR4444960	18.2
SRR4444954	18.2
ERR1331694	18.2
ERR1331709	11.1
SRR1786019	9.0
ERR266370	9.0
SRR6293973	7.9
SRR9066931	6.3
SRR636865	6.3
SRR636958	6.3
ERR162261	6.0
ERR266378	6.0
