reference_gene	lifespan
SRR5412210	5.1
SRR306843	122.5
SRR6206904	5.1
SRR306840	122.5
SRR5952129	5.1
SRR5120939	122.5
SRR449435	5.1
SRR306842	122.5
SRR306753	5.1
SRR306806	60.1
SRR306742	5.1
SRR306802	60.1
SRR2925207	4.0
SRR2925212	4.0
SRR636945	57.0
SRR2925204	4.0
SRR306829	55.0
SRR2925198	4.0
SRR306833	55.0
ERR2004718	4.0
SRR1047652	40.0
SRR2925251	4.0
SRR223515	39.0
SRR2925258	4.0
SRR1759005	37.6
SRR3468374	3.9
SRR2308103	36.8
SRR636858	3.9
SRR636933	34.0
SRR636952	3.9
SRR594421	3.8
SRR3468363	3.9
SRR5520661	3.8
SRR5520662	3.8
SRR636950	30.0
SRR5520668	3.8
SRR636904	30.0
SRR3144830	3.8
SRR954817	3.8
SRR594431	3.8
SRR636938	24.0
SRR1300763	23.0
SRR1300765	23.0
SRR1300766	23.0
SRR1300767	23.0
SRR1300768	23.0
ERR2075792	22.8
SRR5190446	22.8
ERR489283	22.8
ERR489282	22.8
ERR2075986	22.8
SRR5190444	22.8
ERR2075082	22.8
ERR2075072	22.8
ERR2074874	22.8
SRR3144815	3.8
SRR3144817	3.8
SRR3109718	22.8
SRR3144810	3.8
SRR1758985	22.8
SRR3109717	22.8
ERR1990032	3.3
SRR1205223	22.1
ERR1990037	3.3
SRR489494	20.8
ERR476406	3.3
SRR3109710	20.0
SRR4444970	20.0
SRR1981987	20.0
SRR4444959	18.2
SRR1758998	18.2
SRR1758992	18.2
SRR6261040	11.1
SRR1789057	9.0
SRR6293952	7.9
SRR6293975	7.9
SRR9066929	6.3
SRR636867	6.3
ERR266372	6.0
ERR162245	6.0
SRR449436	5.1
