reference_gene	lifespan
SRR5412211	5.1
SRR306844	122.5
SRR5412218	5.1
SRR306839	122.5
SRR5952130	5.1
SRR5120940	122.5
SRR449434	5.1
SRR306752	5.1
ERR1331725	5.1
SRR2925208	4.0
SRR2925244	4.0
SRR2925202	4.0
SRR2925197	4.0
SRR223519	40.0
SRR2925245	4.0
SRR299126	40.0
SRR2925252	4.0
SRR1758941	39.0
SRR1759005	37.6
SRR1759006	37.6
SRR1759007	37.6
SRR1759011	37.6
SRR1759012	37.6
SRR5115667	4.0
SRR636978	34.0
SRR3468375	3.9
SRR636859	3.9
SRR636887	34.0
SRR3468372	3.9
SRR3468366	3.9
SRR1048140	30.5
SRR5520660	3.8
ERR2716207	30.0
SRR3144816	3.8
SRR5520669	3.8
SRR1284266	3.8
SRR3160008	27.0
SRR594442	3.8
SRR636842	24.0
SRR594430	3.8
SRR636937	24.0
SRR594419	3.8
SRR1300768	23.0
SRR3144827	3.8
ERR2075986	22.8
SRR3144814	3.8
SRR1758982	22.8
SRR1873516	3.8
SRR1758977	22.8
ERR1101653	3.5
SRR1205138	22.1
ERR1990033	3.3
SRR1205222	22.1
ERR1990038	3.3
SRR9024753	20.6
SRR1981988	20.0
SRR1758996	18.2
SRR4444961	18.2
SRR4444960	18.2
SRR4444959	18.2
SRR4444958	18.2
SRR4444957	18.2
SRR4444955	18.2
SRR4444954	18.2
SRR1758998	18.2
SRR1758997	18.2
SRR4444956	18.2
SRR1758995	18.2
ERR1331694	18.2
SRR1758992	18.2
ERR162240	12.0
SRR636848	12.0
ERR162251	12.0
SRR1200909	12.0
SRR636941	12.0
ERR1331667	11.1
SRR6261041	11.1
SRR1789059	9.0
SRR6293953	7.9
SRR636960	6.3
SRR9066919	6.3
SRR636913	6.3
ERR266353	6.0
ERR162222	6.0
SRR6206909	5.1
