reference_gene	lifespan
SRR5412210	5.1
SRR306843	122.5
SRR6206904	5.1
SRR306840	122.5
SRR5952129	5.1
SRR5120939	122.5
SRR449435	5.1
SRR306842	122.5
SRR306753	5.1
SRR306742	5.1
SRR2925207	4.0
SRR2925212	4.0
SRR636945	57.0
SRR2925204	4.0
SRR306829	55.0
SRR2925198	4.0
SRR306833	55.0
ERR2004718	4.0
SRR1047652	40.0
SRR2925251	4.0
SRR223515	39.0
SRR2925258	4.0
SRR1759005	37.6
SRR3468373	3.9
SRR3468374	3.9
SRR2308103	36.8
SRR3468375	3.9
SRR3468368	3.9
SRR636953	3.9
SRR636857	3.9
SRR636933	34.0
SRR636858	3.9
SRR636859	3.9
SRR636908	3.9
SRR636909	3.9
SRR306396	31.0
SRR636951	3.9
SRR636952	3.9
SRR3468372	3.9
SRR636907	3.9
SRR1549160	3.9
SRR1549162	3.9
SRR3468363	3.9
SRR3468366	3.9
ERR2716206	30.0
SRR3468367	3.9
SRR3468369	3.9
SRR5520661	3.8
SRR5520662	3.8
SRR5520668	3.8
SRR3144830	3.8
SRR653846	27.0
SRR954817	3.8
SRR3160061	27.0
SRR594431	3.8
SRR636938	24.0
SRR594421	3.8
SRR1300767	23.0
SRR3144815	3.8
ERR489282	22.8
SRR3144817	3.8
ERR2074874	22.8
SRR3144810	3.8
SRR1758985	22.8
ERR1101655	3.5
SRR3109717	22.8
ERR1990032	3.3
SRR1205223	22.1
ERR1990037	3.3
SRR489494	20.8
ERR476406	3.3
SRR9024741	20.6
SRR3109710	20.0
SRR4444970	20.0
SRR636896	12.0
ERR162267	12.0
ERR1331715	12.0
SRR636898	12.0
ERR266381	12.0
SRR6261040	11.1
SRR636960	6.3
SRR636959	6.3
SRR9066934	6.3
SRR9066931	6.3
SRR9066929	6.3
SRR9066919	6.3
SRR9066910	6.3
SRR636866	6.3
SRR636865	6.3
SRR636867	6.3
SRR636913	6.3
SRR636914	6.3
SRR636915	6.3
SRR636958	6.3
ERR266372	6.0
ERR162245	6.0
SRR449436	5.1
