reference_gene	lifespan
SRR5412212	5.1
SRR306845	122.5
SRR5952126	5.1
SRR1521445	122.5
SRR6206914	5.1
SRR8702484	122.5
SRR449433	5.1
SRR306751	5.1
ERR1331710	5.1
SRR2925203	4.0
SRR5115669	4.0
SRR306836	55.0
SRR2925201	4.0
SRR306835	55.0
SRR2925209	4.0
SRR223518	40.0
SRR2925247	4.0
SRR1758943	39.0
SRR2925253	4.0
SRR1758942	39.0
SRR5115668	4.0
SRR1759007	37.6
SRR636932	34.0
ERR1331676	31.0
SRR306399	31.0
SRR2754983	30.5
SRR1048140	30.5
SRR2757329	30.5
SRR1048142	30.5
SRR5291530	3.8
ERR2716208	30.0
SRR1334837	30.0
SRR636856	30.0
SRR636950	30.0
SRR5520664	3.8
SRR636854	30.0
ERR1331679	30.0
ERR1331678	30.0
SRR636904	30.0
SRR3144831	3.8
SRR636906	30.0
SRR636905	30.0
SRR636948	30.0
SRR636949	30.0
SRR1284264	3.8
SRR3160018	27.0
SRR3144828	3.8
SRR636843	24.0
SRR594428	3.8
SRR1300763	23.0
SRR1284265	3.8
ERR2075792	22.8
SRR3144820	3.8
SRR5190444	22.8
SRR3144813	3.8
SRR1758981	22.8
SRR1284275	3.8
SRR1758984	22.8
ERR476404	3.3
SRR1205998	22.1
ERR1990034	3.3
SRR5190453	20.8
ERR3350029	3.3
SRR9024755	20.6
SRR3109705	20.0
SRR636934	20.0
SRR4444968	20.0
ERR266376	12.0
SRR636847	12.0
ERR162246	12.0
SRR1200908	12.0
SRR636942	12.0
ERR1331707	11.1
SRR6261042	11.1
SRR636855	30.0
ERR266393	6.0
ERR162217	6.0
SRR5412215	5.1
