reference_gene	lifespan
SRR5412209	5.1
SRR5885325	122.5
SRR5412216	5.1
SRR306841	122.5
SRR5952128	5.1
SRR5008362	122.5
SRR5412205	5.1
SRR5961875	122.5
SRR306754	5.1
SRR306747	5.1
SRR1758916	59.4
SRR1758922	59.4
SRR1758921	59.4
DRR031591	59.4
SRR2040586	59.4
SRR1510173	59.4
SRR6206899	5.1
SRR636900	57.0
ERR2004720	4.0
SRR2925205	4.0
SRR306827	55.0
SRR2925199	4.0
SRR306831	55.0
SRR2925210	4.0
SRR223521	40.0
SRR2925249	4.0
SRR223514	39.0
SRR2925255	4.0
SRR1758957	39.0
SRR1759012	37.6
SRR636977	34.0
SRR306402	31.0
SRR2124226	31.0
SRR5291532	3.8
ERR2716205	30.0
SRR5520663	3.8
SRR5520667	3.8
SRR594439	3.8
SRR1041772	3.8
SRR3160052	27.0
SRR594433	3.8
SRR636893	24.0
SRR594422	3.8
SRR1300766	23.0
SRR1284267	3.8
ERR489283	22.8
SRR3144818	3.8
ERR2075072	22.8
SRR3144811	3.8
SRR1758983	22.8
ERR1101654	3.5
SRR1758979	22.8
ERR1990031	3.3
SRR8708135	22.1
ERR1990036	3.3
SRR1822406	20.8
ERR476402	3.3
SRR9024746	20.6
ERR1331716	20.0
SRR636897	12.0
ERR266373	12.0
ERR162228	12.0
ERR1331712	12.0
SRR636943	12.0
ERR1331709	11.1
ERR1331671	9.0
SRR1786019	9.0
SRR1789057	9.0
SRR1789059	9.0
SRR1789326	9.0
SRR1789331	9.0
ERR266370	9.0
ERR162261	6.0
ERR266378	6.0
